date, rr, since start
2017-06-20 13:51:05 +0000, 1060, 2120
2017-06-20 13:51:06 +0000, 1024, 3144
2017-06-20 13:51:07 +0000, 1027, 4171
2017-06-20 13:51:08 +0000, 1064, 5235
2017-06-20 13:51:09 +0000, 1082, 6317
2017-06-20 13:51:10 +0000, 1027, 7344
2017-06-20 13:51:11 +0000, 1028, 8372
2017-06-20 13:51:12 +0000, 1040, 9412
2017-06-20 13:51:13 +0000, 1050, 10462
2017-06-20 13:51:15 +0000, 1039, 11501
2017-06-20 13:51:16 +0000, 1080, 12581
2017-06-20 13:51:17 +0000, 1076, 13657
2017-06-20 13:51:18 +0000, 1097, 14754
2017-06-20 13:51:19 +0000, 1141, 15895
2017-06-20 13:51:20 +0000, 1072, 16967
2017-06-20 13:51:21 +0000, 1068, 18035
2017-06-20 13:51:22 +0000, 1115, 19150
2017-06-20 13:51:23 +0000, 1051, 20201
2017-06-20 13:51:24 +0000, 1051, 21252
2017-06-20 13:51:25 +0000, 1108, 22360
2017-06-20 13:51:26 +0000, 1066, 23426
2017-06-20 13:51:27 +0000, 995, 24421
2017-06-20 13:51:28 +0000, 961, 25382
2017-06-20 13:51:29 +0000, 962, 26344
2017-06-20 13:51:30 +0000, 965, 27309
2017-06-20 13:51:31 +0000, 978, 28287
2017-06-20 13:51:32 +0000, 949, 29236
2017-06-20 13:51:33 +0000, 938, 30174
2017-06-20 13:51:34 +0000, 994, 31168
2017-06-20 13:51:35 +0000, 1008, 32176
2017-06-20 13:51:36 +0000, 986, 33162
2017-06-20 13:51:37 +0000, 971, 34133
2017-06-20 13:51:38 +0000, 956, 35089
2017-06-20 13:51:39 +0000, 942, 36031
2017-06-20 13:51:40 +0000, 903, 36934
2017-06-20 13:51:41 +0000, 868, 37802
2017-06-20 13:51:42 +0000, 889, 38691
2017-06-20 13:51:43 +0000, 908, 39599
2017-06-20 13:51:44 +0000, 942, 40541
2017-06-20 13:51:44 +0000, 919, 41460
2017-06-20 13:51:45 +0000, 922, 42382
2017-06-20 13:51:46 +0000, 930, 43312
2017-06-20 13:51:47 +0000, 920, 44232
2017-06-20 13:51:48 +0000, 905, 45137
2017-06-20 13:51:49 +0000, 857, 45994
2017-06-20 13:51:50 +0000, 831, 46825
2017-06-20 13:51:51 +0000, 792, 47617
2017-06-20 13:51:51 +0000, 829, 48446
2017-06-20 13:51:52 +0000, 838, 49284
2017-06-20 13:51:53 +0000, 866, 50150
2017-06-20 13:51:54 +0000, 901, 51051
2017-06-20 13:51:55 +0000, 926, 51977
2017-06-20 13:51:56 +0000, 913, 52890
2017-06-20 13:51:57 +0000, 916, 53806
2017-06-20 13:51:58 +0000, 913, 54719
2017-06-20 13:51:59 +0000, 918, 55637
2017-06-20 13:52:00 +0000, 913, 56550
2017-06-20 13:52:00 +0000, 886, 57436
2017-06-20 13:52:01 +0000, 872, 58308
2017-06-20 13:52:02 +0000, 875, 59183
2017-06-20 13:52:03 +0000, 902, 60085
2017-06-20 13:52:04 +0000, 911, 60996
2017-06-20 13:52:05 +0000, 888, 61884
2017-06-20 13:52:06 +0000, 902, 62786
2017-06-20 13:52:07 +0000, 910, 63696
2017-06-20 13:52:08 +0000, 954, 64650
2017-06-20 13:52:09 +0000, 917, 65567
2017-06-20 13:52:09 +0000, 901, 66468
2017-06-20 13:52:10 +0000, 897, 67365
2017-06-20 13:52:11 +0000, 908, 68273
2017-06-20 13:52:12 +0000, 941, 69214
2017-06-20 13:52:13 +0000, 968, 70182
2017-06-20 13:52:14 +0000, 961, 71143
2017-06-20 13:52:15 +0000, 984, 72127
2017-06-20 13:52:16 +0000, 1018, 73145
2017-06-20 13:52:17 +0000, 989, 74134
2017-06-20 13:52:18 +0000, 946, 75080
2017-06-20 13:52:20 +0000, 923, 76003
2017-06-20 13:52:20 +0000, 965, 76968
2017-06-20 13:52:21 +0000, 973, 77941
2017-06-20 13:52:22 +0000, 942, 78883
2017-06-20 13:52:23 +0000, 934, 79817
2017-06-20 13:52:25 +0000, 939, 80756
2017-06-20 13:52:26 +0000, 978, 81734
2017-06-20 13:52:26 +0000, 987, 82721
2017-06-20 13:52:27 +0000, 938, 83659
2017-06-20 13:52:28 +0000, 929, 84588
2017-06-20 13:52:28 +0000, 923, 85511
2017-06-20 13:52:29 +0000, 940, 86451
2017-06-20 13:52:30 +0000, 939, 87390
2017-06-20 13:52:31 +0000, 910, 88300
2017-06-20 13:52:32 +0000, 926, 89226
2017-06-20 13:52:33 +0000, 927, 90153
2017-06-20 13:52:34 +0000, 917, 91070
2017-06-20 13:52:35 +0000, 882, 91952
2017-06-20 13:52:36 +0000, 883, 92835
2017-06-20 13:52:37 +0000, 915, 93750
2017-06-20 13:52:38 +0000, 945, 94695
2017-06-20 13:52:39 +0000, 973, 95668
2017-06-20 13:52:40 +0000, 942, 96610
2017-06-20 13:52:40 +0000, 948, 97558
2017-06-20 13:52:41 +0000, 979, 98537
2017-06-20 13:52:42 +0000, 963, 99500
2017-06-20 13:52:43 +0000, 900, 100400
2017-06-20 13:52:44 +0000, 875, 101275
2017-06-20 13:52:45 +0000, 876, 102151
2017-06-20 13:52:46 +0000, 886, 103037
2017-06-20 13:52:47 +0000, 864, 103901
2017-06-20 13:52:48 +0000, 850, 104751
2017-06-20 13:52:49 +0000, 844, 105595
2017-06-20 13:52:49 +0000, 865, 106460
2017-06-20 13:52:50 +0000, 878, 107338
2017-06-20 13:52:51 +0000, 897, 108235
2017-06-20 13:52:52 +0000, 874, 109109
2017-06-20 13:52:53 +0000, 883, 109992
2017-06-20 13:52:54 +0000, 924, 110916
2017-06-20 13:52:55 +0000, 937, 111853
2017-06-20 13:52:56 +0000, 895, 112748
2017-06-20 13:52:57 +0000, 859, 113607
2017-06-20 13:52:57 +0000, 853, 114460
2017-06-20 13:52:58 +0000, 848, 115308
2017-06-20 13:52:59 +0000, 843, 116151
2017-06-20 13:53:00 +0000, 838, 116989
2017-06-20 13:53:01 +0000, 829, 117818
2017-06-20 13:53:02 +0000, 835, 118653
2017-06-20 13:53:02 +0000, 844, 119497
2017-06-20 13:53:03 +0000, 850, 120347
2017-06-20 13:53:04 +0000, 842, 121189
2017-06-20 13:53:05 +0000, 833, 122022
2017-06-20 13:53:06 +0000, 847, 122869
2017-06-20 13:53:08 +0000, 862, 123731
2017-06-20 13:53:09 +0000, 914, 124645
2017-06-20 13:53:09 +0000, 901, 125546
2017-06-20 13:53:10 +0000, 893, 126439
2017-06-20 13:53:11 +0000, 899, 127338
2017-06-20 13:53:12 +0000, 910, 128248
2017-06-20 13:53:13 +0000, 916, 129164
2017-06-20 13:53:14 +0000, 907, 130071
2017-06-20 13:53:15 +0000, 884, 130955
2017-06-20 13:53:16 +0000, 879, 131834
2017-06-20 13:53:16 +0000, 877, 132711
2017-06-20 13:53:17 +0000, 912, 133623
2017-06-20 13:53:17 +0000, 902, 134525
2017-06-20 13:53:18 +0000, 876, 135401
2017-06-20 13:53:19 +0000, 875, 136276
2017-06-20 13:53:20 +0000, 882, 137158
2017-06-20 13:53:21 +0000, 913, 138071
2017-06-20 13:53:22 +0000, 912, 138983
2017-06-20 13:53:23 +0000, 872, 139855
2017-06-20 13:53:24 +0000, 887, 140742
2017-06-20 13:53:25 +0000, 880, 141622
2017-06-20 13:53:25 +0000, 892, 142514
2017-06-20 13:53:26 +0000, 913, 143427
2017-06-20 13:53:27 +0000, 900, 144327
2017-06-20 13:53:28 +0000, 918, 145245
2017-06-20 13:53:29 +0000, 936, 146181
2017-06-20 13:53:30 +0000, 932, 147113
2017-06-20 13:53:31 +0000, 923, 148036
2017-06-20 13:53:32 +0000, 917, 148953
2017-06-20 13:53:33 +0000, 911, 149864
2017-06-20 13:53:34 +0000, 892, 150756
2017-06-20 13:53:36 +0000, 894, 151650
2017-06-20 13:53:36 +0000, 879, 152529
2017-06-20 13:53:36 +0000, 855, 153384
2017-06-20 13:53:37 +0000, 869, 154253
2017-06-20 13:53:38 +0000, 901, 155154
2017-06-20 13:53:39 +0000, 931, 156085
2017-06-20 13:53:40 +0000, 917, 157002
2017-06-20 13:53:41 +0000, 911, 157913
2017-06-20 13:53:42 +0000, 930, 158843
2017-06-20 13:53:43 +0000, 955, 159798
2017-06-20 13:53:44 +0000, 939, 160737
2017-06-20 13:53:45 +0000, 908, 161645
2017-06-20 13:53:45 +0000, 876, 162521
2017-06-20 13:53:46 +0000, 868, 163389
2017-06-20 13:53:47 +0000, 871, 164260
2017-06-20 13:53:48 +0000, 888, 165148
2017-06-20 13:53:49 +0000, 943, 166091
2017-06-20 13:53:50 +0000, 930, 167021
2017-06-20 13:53:52 +0000, 931, 167952
2017-06-20 13:53:53 +0000, 928, 168880
2017-06-20 13:53:54 +0000, 926, 169806
